Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Bosques de las Lomas;2;1;0;77;9450.0;3675.0;1057.0
Santa Fe;3;1;3;80;9800.0;4550.0;0.0
Narvarte;3;1;1;106;7175.0;3052.0;3528.0
San Miguel Chapultepec;2;1;1;79;4550.0;3325.0;105.0
Santa Fe;2;1;1;102;8750.0;5173.0;892.5
Santa Fe;3;2;3;120;9800.0;4480.0;1260.0
Narvarte;2;1;1;81;8225.0;2971.5;280.0
Mixcoac;3;1;0;90;6650.0;735.0;560.0
Narvarte;3;0;0;98;5950.0;1365.0;325.5
Narvarte;2;1;0;88;3850.0;2425.5;112.0
Santa Fe;2;1;0;74;7350.0;2625.0;0.0
Santa Fe;2;1;1;87;8050.0;5187.0;878.5
Santa Fe;3;1;1;75;6650.0;2625.0;210.0
San Pedro de los Pinos;2;1;0;72;10150.0;2852.5;336.0
Narvarte;2;1;0;72;5250.0;2569.0;0.0
El Arenal;2;1;0;90;4900.0;1680.0;297.5
Narvarte;3;0;0;86;5250.0;2415.0;290.5
Santa Fe;2;2;1;75;4900.0;2800.0;350.0
Narvarte;3;2;1;150;7000.0;5950.0;735.0
San Miguel Chapultepec;3;1;0;95;4375.0;2275.0;210.0
Narvarte;2;1;1;85;5600.0;3360.0;315.0
Del Valle;2;1;0;79;8050.0;2730.0;413.0
San Miguel Chapultepec;2;0;0;80;5950.0;1575.0;210.0
San Miguel Chapultepec;2;2;1;91;7000.0;2100.0;507.5
Las Águilas;3;1;1;75;7350.0;2380.0;0.0
San Miguel Chapultepec;3;1;2;79;7700.0;2177.0;427.0
Narvarte;3;2;1;109;8750.0;2597.0;367.5
Santa Fe;2;1;1;90;7700.0;4872.0;1011.5
Santa Fe;3;2;3;102;9450.0;5330.5;10304.0
Santa Fe;4;2;1;115;9800.0;6300.0;875.0
Narvarte;2;1;1;80;5250.0;1750.0;105.0
Narvarte;3;1;2;100;8750.0;4550.0;990.5
Narvarte;2;1;1;97;8750.0;2310.0;0.0
Santa Fe;3;2;1;110;7000.0;6188.0;969.5
Narvarte;3;0;0;80;5600.0;1225.0;0.0
Narvarte;2;1;1;84;9625.0;2415.0;637.0
Narvarte;3;2;1;120;9800.0;5600.0;595.0
Narvarte;3;1;0;81;6125.0;2089.5;329.0
San Miguel Chapultepec;2;0;0;82;5950.0;1225.0;0.0
Narvarte;3;0;0;80;5600.0;2310.0;343.0
Santa Fe;2;1;1;77;7700.0;4326.0;493.5
Centro Histórico;2;0;0;75;5250.0;3272.5;255.5
Roma;2;1;0;90;8750.0;2289.0;332.5
Santa Fe;2;1;1;104;7000.0;6125.0;0.0
Narvarte;3;1;1;82;6300.0;3850.0;392.0
San Rafael;2;1;1;80;5250.0;2607.5;311.5
Narvarte;3;0;3;110;9800.0;875.0;822.5
Santa Fe;3;2;1;172;8050.0;5600.0;1575.0
Narvarte;3;2;1;85;8225.0;3150.0;336.0
Narvarte;3;1;1;126;6300.0;3881.5;567.0
Santa Fe;2;1;1;86;7700.0;3675.0;0.0
Santa Fe;2;1;1;86;10150.0;4574.5;752.5
Narvarte;3;2;1;102;9100.0;2793.0;311.5
Santa Fe;3;1;1;90;9975.0;2975.0;455.0
Centro Histórico;3;1;0;95;7000.0;3034.5;252.0
Narvarte;3;1;0;125;8750.0;3850.0;700.0
Roma Norte;2;1;0;73;5215.0;1718.5;49.0
Narvarte;3;1;0;98;7700.0;2205.0;0.0
San Miguel Chapultepec;2;0;0;86;7000.0;1638.0;66.5
Santa Fe;2;2;1;93;9450.0;4564.0;626.5
Narvarte;2;0;0;81;6300.0;2327.5;301.0
Santa Fe;2;1;1;78;8750.0;4550.0;1050.0
La Condesa;2;2;0;78;8645.0;2583.0;423.5
El Contadero;3;2;1;127;8750.0;2170.0;1025.5
Narvarte;2;0;0;90;4900.0;2100.0;122.5
Bosques de las Lomas;2;1;1;85;7700.0;4287.5;973.0
Condesa;4;0;0;103;9800.0;3335.5;840.0
Narvarte;2;0;0;75;5950.0;980.0;0.0
Narvarte;2;0;0;89;4900.0;210.0;0.0
Peralvillo;2;1;0;80;3500.0;1750.0;500.5
Santa Fe;3;2;1;112;7700.0;6132.0;896.0
Narvarte;2;1;0;73;5950.0;1750.0;0.0
Santa Fe;2;1;1;71;5250.0;2520.0;0.0
Santa Fe;4;2;1;121;9800.0;4165.0;731.5
Santa Fe;2;1;1;80;8750.0;4585.0;0.0
Peralvillo;3;1;1;85;4550.0;2677.5;0.0
Condesa;2;0;0;71;8400.0;2117.5;0.0
Narvarte;2;1;0;90;5950.0;1645.0;318.5
Condesa;2;0;0;81;8750.0;2800.0;315.0
Casa Blanca;3;2;1;82;7700.0;2205.0;245.0
Napoles;2;0;0;75;8750.0;2660.0;619.5
Santa Fe;2;2;1;90;9800.0;4550.0;1400.0
Polanco;2;1;2;79;9800.0;6044.5;675.5
Peralvillo;2;1;1;78;4200.0;2275.0;420.0
San Rafael;3;2;1;103;5600.0;2450.0;560.0
Santa Fe;3;1;1;103;9100.0;4725.0;805.0
San Miguel Chapultepec;2;1;0;135;8050.0;1995.0;350.0
Santa Fe;3;1;3;80;9800.0;4550.0;490.0
Condesa;2;0;0;72;7875.0;2975.0;252.0
Narvarte;4;1;1;190;9800.0;3150.0;630.0
Doctores;2;1;1;84;2800.0;1575.0;0.0
Santa Fe;3;1;1;86;7000.0;2656.5;0.0
San Miguel Chapultepec;2;0;0;92;5250.0;1050.0;308.0
Santa Fe;2;1;1;96;8750.0;5610.5;822.5
Del Valle;2;0;0;90;7700.0;2275.0;416.5
San Miguel Chapultepec;2;1;0;83;3850.0;2100.0;343.0
Roma;3;1;0;110;8750.0;4550.0;0.0
Condesa;3;0;0;120;8050.0;6650.0;8267.0
Santa Fe;3;1;1;98;8400.0;4830.0;525.0
Roma;2;1;0;95;8750.0;3045.0;0.0
Santa Fe;3;2;1;93;8750.0;5075.0;581.0
Santa Fe;2;1;1;74;6650.0;4550.0;0.0
Condesa;2;0;0;74;5600.0;3.5;3.5
Peralvillo;2;2;1;110;6300.0;2100.0;462.0
Roma;2;1;1;85;9450.0;4056.5;644.0
San Rafael;2;2;1;103;5600.0;2100.0;378.0
San Rafael;3;0;1;97;5775.0;920.5;350.0
Peralvillo;2;1;0;77;4900.0;2096.5;133.0
Narvarte;3;1;1;140;6300.0;4014.5;0.0
Santa Fe;3;1;0;80;5950.0;3608.5;7682.5
Narvarte;3;1;0;140;8050.0;2380.0;399.0
Santa Fe;2;1;1;95;7700.0;4669.0;899.5
Santa Fe;2;1;1;80;8750.0;4284.0;742.0
Del Valle;2;1;0;80;7000.0;1575.0;0.0
Santa Fe;3;2;1;105;8050.0;5250.0;0.0
Narvarte;3;1;0;80;6650.0;2450.0;210.0
Santa Fe;2;1;1;73;9450.0;4147.5;724.5
Condesa;3;1;0;81;8750.0;3500.0;6076.0
Del Valle;3;1;1;150;9450.0;5495.0;630.0
Peralvillo;3;0;0;78;5250.0;2541.0;280.0
Condesa;3;1;1;90;9800.0;4200.0;525.0
Condesa;2;0;0;90;8400.0;3080.0;392.0
El Contadero;3;2;1;125;9380.0;1750.0;1207.5
Narvarte;3;1;0;107;8050.0;1400.0;0.0
Santa Fe;2;1;2;82;7700.0;4200.0;0.0
Narvarte;2;0;0;76;6300.0;2450.0;84.0
Arboledas;3;1;0;75;3500.0;2275.0;0.0
Santa Fe;3;2;2;83;8400.0;2124.5;4900.0
San Jerónimo;2;1;0;87;8750.0;2789.5;0.0
Narvarte;3;1;1;87;8050.0;1956.5;350.0
Santa Fe;4;2;1;115;9800.0;6615.0;875.0
Narvarte;4;1;0;160;7000.0;3612.0;3696.0
Santa Fe;3;2;3;145;10150.0;6300.0;0.0
Condesa;2;0;0;74;7000.0;3150.0;462.0
San Ángel;3;0;1;120;9450.0;3080.0;833.0
Narvarte;2;1;1;92;10150.0;3174.5;0.0
Condesa;2;0;0;80;8400.0;3482.5;630.0
Narvarte;3;2;1;135;7000.0;3220.0;8400.0
Peralvillo;3;2;1;113;4550.0;2940.0;0.0
Peralvillo;3;1;1;108;4725.0;3150.0;399.0
Santa Fe;3;2;1;98;9800.0;5320.0;385.0
Centro Histórico;3;2;1;120;8750.0;5250.0;728.0
Juárez;2;0;0;71;6650.0;1981.0;451.5
Napoles;2;0;0;75;9100.0;3073.0;0.0
Narvarte;3;1;0;105;7700.0;2394.0;462.0
Santa Fe;2;1;0;84;7700.0;3150.0;7000.0
Narvarte;3;1;0;75;6650.0;1785.0;0.0
Santa Fe;3;2;1;90;9800.0;5309.5;1256.5
Narvarte;2;0;0;80;5600.0;875.0;70.0
Condesa;3;1;0;138;9800.0;5253.5;1113.0
La Virgen;2;1;0;74;4375.0;2205.0;133.0
Santa Fe;2;1;1;75;7350.0;2233.0;0.0
Santa Fe;3;1;1;88;8050.0;2810.5;0.0
Narvarte;3;2;0;74;8750.0;2495.5;332.5
Santa Fe;2;1;0;73;8750.0;3430.0;696.5
Santa Fe;2;1;1;74;5600.0;3150.0;0.0
Santa Fe;2;1;1;95;7000.0;6300.0;350.0
Narvarte;2;1;1;71;4900.0;2100.0;0.0
Narvarte;3;0;0;120;6300.0;2156.0;413.0
Santa Fe;2;1;1;72;5600.0;3255.0;574.0
Roma;2;1;1;85;10150.0;4900.0;0.0
Santa Fe;3;1;1;92;8750.0;4200.0;6062.0
Santa Fe;2;1;0;78;7350.0;2625.0;350.0
Santa Fe;2;1;1;89;7700.0;4004.0;353.5
Narvarte;2;0;0;80;4900.0;2163.0;245.0
La Condesa;2;1;0;74;7700.0;2537.5;437.5
Santa Fe;2;1;1;72;8050.0;4200.0;843.5
Santa Fe;2;2;2;100;9800.0;5600.0;1295.0
Napoles;3;0;0;155;9800.0;4550.0;1018.5
Santa Fe;2;1;1;88;6650.0;4725.0;525.0
Coyoacán;3;0;0;90;9100.0;4585.0;542.5
El Contadero;2;1;0;90;5950.0;1400.0;4200.0
Del Valle;3;0;0;111;8050.0;2684.5;444.5
Coyoacán;2;0;0;75;10150.0;2450.0;0.0
Narvarte;3;0;0;120;8400.0;2401.0;273.0
Polanco;3;0;0;85;8750.0;2765.0;0.0
Narvarte;2;1;1;80;6300.0;4133.5;0.0
Narvarte;3;1;0;115;7875.0;3500.0;612.5
San Rafael;2;0;0;75;4200.0;525.0;70.0
Napoles;2;1;0;90;8750.0;2800.0;0.0
Santa Fe;3;1;2;97;8925.0;4571.0;896.0
Santa Fe;2;1;1;90;9800.0;3115.0;857.5
Santa Fe;2;1;2;90;7000.0;5215.0;0.0
Condesa;3;0;1;115;10150.0;3325.0;357.0
Roma;3;0;0;157;9450.0;3395.0;700.0
Narvarte;2;1;0;86;3850.0;1869.0;0.0
Del Valle;2;1;0;75;7700.0;3132.5;374.5
Santa Fe;3;1;1;102;8750.0;4550.0;0.0
Nueva Santa María;2;1;0;84;2450.0;2450.0;129.5
Narvarte;2;0;0;84;4550.0;1925.0;318.5
Narvarte;4;1;2;190;7000.0;4364.5;1235.5
San Miguel Chapultepec;3;1;0;80;4550.0;2520.0;245.0
Santa Fe;2;2;1;78;8715.0;3850.0;560.0
Juárez;2;0;0;71;7000.0;2537.5;364.0
San Rafael;2;1;1;73;6125.0;2502.5;357.0
Narvarte;3;0;0;75;5250.0;3069.5;126.0
Narvarte;3;0;0;75;7700.0;2625.0;238.0
Santa Fe;2;1;1;80;6125.0;4200.0;304.5
San Miguel Chapultepec;3;1;1;110;6300.0;2922.5;346.5
Condesa;2;0;0;82;6650.0;2397.5;630.0
Condesa;3;1;1;110;9100.0;3850.0;525.0
Del Valle;2;0;0;80;8750.0;1260.0;297.5
Polanco;2;0;0;80;6650.0;2800.0;483.0
Condesa;2;0;0;80;9100.0;1575.0;437.5
Roma Norte;3;1;1;144;8746.5;350.0;437.5
Polanco;2;1;1;80;10150.0;3850.0;420.0
Narvarte;3;2;0;74;8750.0;2747.5;325.5
Narvarte;3;1;1;150;8750.0;4200.0;612.5
Condesa;2;2;1;80;7350.0;4294.5;0.0
Santa Fe;2;1;1;98;7875.0;5215.0;822.5
Narvarte;3;1;0;100;5950.0;2940.0;385.0
San José Insurgentes;2;1;0;71;2135.0;2065.0;0.0
Narvarte;2;1;1;78;8400.0;3150.0;462.0
Narvarte;3;1;0;90;8225.0;2614.5;0.0
Santa Fe;2;1;1;72;5600.0;2730.0;49.0
Narvarte;3;1;1;90;7000.0;3104.5;430.5
Narvarte;2;1;0;90;7000.0;2450.0;262.5
Santa Fe;2;1;1;100;8750.0;5243.0;1186.5
Santa Fe;2;1;1;73;7000.0;3615.5;350.0
Narvarte;3;0;1;100;6300.0;2975.0;455.0
Narvarte;3;1;1;96;6825.0;1750.0;325.5
Peralvillo;3;1;1;76;5075.0;2282.0;2597.0
Arboledas;2;1;1;80;4725.0;822.5;472.5
Narvarte;3;0;0;105;7700.0;1792.0;448.0
Peralvillo;2;1;0;71;4900.0;2408.0;0.0
Del Valle;3;1;0;130;9275.0;3535.0;749.0
Condesa;2;0;1;80;8400.0;2450.0;539.0
Santa Fe;2;2;1;74;7700.0;3671.5;773.5
Del Valle;2;0;0;87;10150.0;2625.0;455.0
Santa Fe;2;1;1;80;7700.0;3955.0;262.5
Narvarte;2;0;0;73;4900.0;1718.5;0.0
Juárez;2;0;0;83;8050.0;2380.0;518.0
San Pedro de los Pinos;2;0;0;72;7000.0;2170.0;479.5
Santa Fe;2;1;1;101;8750.0;8050.0;0.0
Narvarte;2;0;0;79;6300.0;1330.0;0.0
Santa Fe;2;1;1;96;7000.0;5110.0;973.0
Peralvillo;3;1;1;90;3500.0;2800.0;420.0
Roma;3;0;0;83;9800.0;1029.0;385.0
Narvarte;2;1;0;71;6125.0;1890.0;290.5
San Miguel Chapultepec;3;1;1;89;7350.0;2625.0;0.0
Condesa;3;0;0;119;8750.0;3990.0;0.0
Narvarte;3;1;1;80;6125.0;2975.0;437.5
Nativitas;2;1;1;80;5075.0;700.0;0.0
Narvarte;3;1;1;85;8050.0;1991.5;0.0
Condesa;3;1;0;100;9450.0;3776.5;451.5
La Condesa;2;0;0;110;5250.0;4900.0;700.0
Condesa;3;0;0;110;9450.0;3500.0;87.5
Narvarte;3;0;0;85;5600.0;1802.5;0.0
Condesa;2;0;0;80;7700.0;3283.0;343.0
Condesa;3;1;0;110;10150.0;4777.5;560.0
Condesa;3;0;0;83;5950.0;2114.0;0.0
Juárez;2;1;0;71;7700.0;2537.5;381.5
Santa Fe;2;1;1;95;8400.0;4200.0;0.0
Narvarte;3;1;0;85;7700.0;2975.0;322.0
San Miguel Chapultepec;3;2;1;100;4900.0;2625.0;357.0
San Ángel;2;1;1;75;8750.0;4329.5;6608.0
Santa Fe;2;1;1;80;7700.0;4200.0;8750.0
Roma Norte;2;1;0;88;4200.0;2320.5;0.0
Narvarte;3;1;0;148;8750.0;3850.0;770.0
El Contadero;3;0;0;115;6300.0;1645.0;0.0
Santa Fe;3;2;3;100;6650.0;5243.0;444.5
Roma;3;1;0;109;8750.0;3244.5;609.0
Santa Fe;2;1;2;80;3500.0;4140.5;0.0
Santa Fe;3;1;1;72;7000.0;2205.0;0.0
Peralvillo;3;1;1;85;3675.0;3437.0;357.0
Santa Fe;3;1;0;100;6300.0;4200.0;910.0
Santa Fe;2;1;1;105;9450.0;5568.5;700.0
Narvarte;2;1;0;79;5250.0;1645.0;0.0
Narvarte;2;1;2;87;10325.0;2590.0;455.0
Condesa;2;0;0;80;8400.0;630.0;3482.5
Del Valle;2;0;0;123;9100.0;2800.0;710.5
Narvarte;3;1;0;100;8750.0;4469.5;0.0
Condesa;2;1;0;85;10465.0;2975.0;595.0
Napoles;2;1;0;84;9450.0;2502.5;752.5
Narvarte;2;2;0;80;6300.0;1925.0;283.5
Arboledas;2;1;1;74;4550.0;1753.5;472.5
Narvarte;3;1;0;125;8750.0;3850.0;700.0
Santa Fe;3;1;3;80;9625.0;4200.0;0.0
Del Valle;3;0;0;95;8750.0;2012.5;325.5
Santa Fe;2;1;1;83;7000.0;4672.5;0.0
Napoles;3;0;0;135;10150.0;2800.0;805.0
Santa Fe;3;1;1;100;9800.0;5197.5;899.5
Napoles;2;0;0;75;9450.0;3073.0;0.0
Santa Fe;3;2;2;96;6650.0;2625.0;875.0
San Pedro de los Pinos;3;0;1;100;9450.0;5460.0;367.5
Santa Fe;3;2;1;96;9800.0;4200.0;675.5
Santa Fe;3;2;1;193;8750.0;13300.0;3020.5
Condesa;2;0;0;75;5950.0;45.5;1494.5
Condesa;2;1;1;94;8750.0;4728.5;472.5
Narvarte;2;0;1;75;6650.0;2506.0;304.5
Santa Fe;2;1;1;95;8575.0;5950.0;0.0
Lomas de Chapultepec;2;1;1;79;9275.0;5957.0;1421.0
Nueva Santa María;3;1;0;130;4550.0;2450.0;0.0
Condesa;2;0;1;98;7875.0;4991.0;721.0
Del Valle;3;1;1;90;7700.0;4529.0;0.0
San Jerónimo;2;1;1;87;7700.0;2772.0;658.0
Del Valle;2;1;1;80;9450.0;3202.5;0.0
Narvarte;3;1;0;72;6825.0;700.0;290.5
Santa Fe;2;1;2;83;7875.0;4060.0;889.0
Condesa;3;0;0;88;10150.0;2495.5;598.5
Condesa;2;0;0;85;8750.0;2975.0;0.0
Santa Fe;3;1;1;74;6300.0;2170.0;0.0
Santa Fe;2;1;1;87;7700.0;2758.0;0.0
Narvarte;3;1;0;170;8750.0;2730.0;623.0
Narvarte;3;1;1;145;9800.0;3500.0;672.0
San Pedro de los Pinos;2;1;1;84;5600.0;2940.0;0.0
Del Valle;3;1;0;135;9450.0;5295.5;878.5
Narvarte;3;0;1;90;5250.0;3272.5;339.5
Narvarte;3;1;1;110;10150.0;3850.0;637.0
Santa Fe;2;2;1;89;5950.0;4725.0;280.0
Condesa;3;0;0;100;8750.0;3692.5;1050.0
Narvarte;3;0;0;80;8750.0;1575.0;227.5
El Contadero;3;1;1;140;7000.0;2135.0;0.0
Santa Fe;2;0;0;103;9800.0;6240.5;693.0
Santa Fe;2;1;1;98;5775.0;3430.0;504.0
Santa Fe;2;1;2;90;8050.0;5285.0;8736.0
Narvarte;2;0;0;79;5775.0;875.0;287.0
Santa Fe;2;1;2;82;9100.0;5145.0;864.5
Peralvillo;3;1;1;73;5600.0;2625.0;0.0
Del Valle;2;1;0;75;7700.0;3132.5;0.0
Santa Fe;3;2;1;89;6650.0;2695.0;406.0
Santa Fe;3;2;1;80;5915.0;3850.0;455.0
Nueva Santa María;2;1;0;91;4900.0;2429.0;262.5
Santa Fe;2;1;1;90;7000.0;4550.0;990.5
Narvarte;3;1;1;160;9800.0;2800.0;0.0
Santa Fe;2;2;1;78;7000.0;10899.0;1417.5
Condesa;3;1;0;110;8750.0;4725.0;455.0
Napoles;3;1;0;88;7000.0;1368.5;196.0
Santa Fe;2;1;1;77;8750.0;4900.0;371.0
Condesa;3;0;0;105;9100.0;3538.5;619.5
San Miguel Chapultepec;2;1;0;80;5600.0;1925.0;0.0
San Pedro de los Pinos;2;1;0;90;10150.0;2852.5;336.0
La Virgen;3;1;0;81;4900.0;2292.5;56.0
San Miguel Chapultepec;2;2;0;102;5600.0;3472.0;451.5
Condesa;3;0;0;149;7000.0;3115.0;182.0
Santa Fe;3;1;1;73;5950.0;2156.0;101.5
Condesa;3;1;0;92;8750.0;3850.0;385.0
Narvarte;2;1;1;95;5950.0;2996.0;388.5
Condesa;2;0;1;114;8400.0;4935.0;490.0
Condesa;3;1;1;92;8750.0;3850.0;5292.0
Santa Fe;2;1;1;86;10150.0;3780.0;560.0
Napoles;2;0;0;75;9800.0;3213.0;0.0
Coyoacán;3;0;0;90;8750.0;4585.0;780.5
Narvarte;2;0;0;79;4200.0;3209.5;318.5
Condesa;2;1;0;73;10150.0;4025.0;0.0
Roma Norte;2;0;0;75;4200.0;1610.0;0.0
Villa Coapa;3;0;0;75;3325.0;304.5;49.0
Coyoacán;3;0;0;90;9800.0;4900.0;630.0
Santa Fe;2;1;1;84;8750.0;7297.5;927.5
Narvarte;3;0;1;126;9100.0;2961.0;784.0
Santa Fe;3;2;1;105;9800.0;5705.0;917.0
Napoles;2;0;0;87;9100.0;2502.5;535.5
San Felipe de Jesús;2;2;0;81;2975.0;1225.0;171.5
San Rafael;2;0;0;76;4200.0;875.0;0.0
Roma;2;0;0;91;9800.0;1225.0;0.0
Santa Fe;2;1;1;76;6650.0;4900.0;0.0
Narvarte;2;0;0;80;6650.0;2450.0;0.0
Juárez;3;0;0;95;7700.0;3650.5;336.0
Narvarte;3;2;0;104;8750.0;4333.0;574.0
Narvarte;2;1;1;76;8750.0;3255.0;322.0
Napoles;2;0;0;75;9450.0;3073.0;0.0
Mixcoac;2;2;0;74;3850.0;2625.0;45.5
Narvarte;2;1;0;88;4200.0;2240.0;0.0
Narvarte;3;1;0;95;8050.0;2485.0;0.0
Santa Fe;2;1;2;74;8050.0;4725.0;0.0
San Pedro de los Pinos;3;1;0;90;7000.0;3318.0;528.5
Santa Fe;2;1;1;75;5600.0;3013.5;0.0
Narvarte;3;0;0;100;7700.0;2100.0;0.0
Santa Fe;3;1;1;76;5950.0;2800.0;0.0
Narvarte;2;0;0;75;6300.0;1400.0;0.0
Roma;2;1;1;90;8750.0;3780.0;654.5
Santa Fe;4;2;1;103;9450.0;5600.0;469.0
San Miguel Chapultepec;3;1;0;75;5600.0;2709.0;0.0
Condesa;3;1;0;86;7700.0;4760.0;616.0
Roma;3;2;1;120;10150.0;6436.5;1242.5
Santa Fe;2;1;1;78;8750.0;3850.0;350.0
Roma;2;1;1;98;9800.0;6300.0;759.5
Santa Fe;4;2;2;114;7000.0;4109.0;455.0
Roma;3;1;1;130;9100.0;4200.0;350.0
Santa Fe;3;2;0;89;7525.0;4200.0;766.5
Condesa;3;0;0;90;9450.0;1277.5;35.0
El Rosedal;3;1;1;90;4200.0;875.0;0.0
San Miguel Chapultepec;2;0;1;74;5250.0;2971.5;318.5
Roma Norte;3;1;1;79;8400.0;3832.5;0.0
San Pedro de los Pinos;3;0;0;105;6650.0;2369.5;0.0
Condesa;3;0;1;73;8050.0;4158.0;458.5
Roma Norte;2;1;1;76;5600.0;2450.0;87.5
Del Valle;2;0;0;106;9450.0;3115.0;542.5
Del Valle;3;0;1;118;7350.0;5694.5;710.5
Iztacalco;2;1;0;91;4900.0;1575.0;0.0
Santa Fe;4;2;1;148;8750.0;6650.0;833.0
Narvarte;2;1;0;73;6300.0;2502.5;0.0
San Miguel Chapultepec;2;0;0;80;4900.0;1743.0;70.0
San Rafael;3;0;0;110;6300.0;2170.0;437.5
Polanco;2;1;1;74;9450.0;6195.0;882.0
Narvarte;3;0;1;118;8750.0;2940.0;0.0
Santa Fe;4;2;1;105;9800.0;3675.0;7700.0
Condesa;3;1;0;137;7350.0;3167.5;724.5
Santa Fe;3;2;1;90;8750.0;6195.0;10780.0
Condesa;3;0;1;130;8750.0;3654.0;1015.0
Santa Fe;2;1;1;78;3150.0;4200.0;546.0
Santa Fe;2;1;2;90;7700.0;3955.0;0.0
Narvarte;2;0;0;85;4550.0;2219.0;0.0
Condesa;3;0;0;106;9800.0;3185.0;735.0
Roma Norte;3;1;0;90;4900.0;1750.0;52.5
Del Valle;3;0;0;96;9100.0;2450.0;0.0
Santa Fe;2;1;1;72;9100.0;5950.0;833.0
Centro Histórico;2;0;0;73;6650.0;2415.0;245.0
Santa Fe;2;1;1;80;5250.0;5250.0;1358.0
Narvarte;3;1;0;90;4550.0;2345.0;0.0
Narvarte;3;0;0;119;6650.0;2117.5;605.5
Narvarte;3;1;1;88;7700.0;3048.5;0.0
Del Valle;2;1;1;95;10150.0;3255.0;581.0
San Miguel Chapultepec;2;1;0;71;6300.0;3150.0;0.0
Juárez;2;0;0;71;5950.0;2397.5;444.5
Narvarte;2;0;0;110;6300.0;1225.0;0.0
Narvarte;2;1;1;80;5950.0;2800.0;343.0
Narvarte;3;1;0;107;7350.0;1680.0;0.0
Roma;2;0;0;98;8750.0;3052.0;0.0
Narvarte;2;1;0;73;6125.0;2030.0;374.5
Narvarte;3;1;1;130;9800.0;3325.0;0.0
Narvarte;3;1;0;89;8050.0;3111.5;427.0
Narvarte;3;1;0;90;7350.0;3454.5;0.0
Condesa;3;1;0;101;9800.0;5180.0;770.0
Santa Fe;2;1;2;78;6650.0;3780.0;574.0
Santa Fe;3;2;2;83;8400.0;2135.0;4900.0
Roma;2;1;1;100;10150.0;4175.5;850.5
Santa Fe;2;2;1;107;10465.0;4550.0;10150.0
Del Valle;2;1;1;84;9800.0;1330.0;623.0
Santa Fe;2;1;1;73;7000.0;3101.0;0.0
Roma;2;1;0;80;7700.0;4487.0;0.0
Narvarte;3;0;0;84;4200.0;1400.0;357.0
Santa Fe;3;2;1;145;10150.0;6300.0;1225.0
San Miguel Chapultepec;2;1;1;80;5250.0;1883.0;336.0
Roma Norte;3;0;0;100;5600.0;1050.0;210.0
